split,context,y,memory_hit,c_h,n1,top_prob,mixer_loss,full_memory_loss,delta_loss
test,"(193, 337)",224,1,34.0,5.0,0.44117647409439087,5.244735,1.513622,3.731113
test,"(60, 8)",133,1,360.0,29.0,0.14166666567325592,2.460496,2.953702,-0.493206
test,"(244, 62)",66,1,117.0,14.0,0.3162393271923065,4.617757,3.911808,0.705949
test,"(226, 201)",229,1,2.0,1.0,1.0,1.732992,0.415139,1.317853
test,"(201, 251)",226,1,158.0,21.0,0.297468364238739,2.492630,2.330907,0.161724
test,"(131, 166)",155,1,257.0,19.0,0.27626457810401917,2.468193,2.349395,0.118798
test,"(65, 322)",62,1,302.0,33.0,0.18543046712875366,2.361465,1.714299,0.647165
test,"(479, 82)",14,1,51.0,6.0,0.4901960790157318,3.907603,1.787543,2.120061
test,"(416, 266)",296,1,9.0,3.0,0.7777777910232544,6.281795,0.462805,5.818990
test,"(166, 155)",155,1,25.0,7.0,0.3199999928474426,10.032103,1.332000,8.700102
test,"(194, 1)",131,1,172.0,27.0,0.302325576543808,6.007520,2.189348,3.818172
test,"(13, 67)",401,1,527.0,16.0,0.47817838191986084,2.263024,0.819507,1.443517
test,"(25, 191)",294,1,71.0,13.0,0.2535211145877838,4.597847,1.500128,3.097719
test,"(379, 65)",322,1,244.0,1.0,1.0,1.663780,0.087425,1.576355
test,"(182, 79)",75,1,144.0,11.0,0.7291666865348816,3.257367,0.419497,2.837869
test,"(186, 134)",8,1,1054.0,89.0,0.07020872831344604,5.140461,2.975396,2.165065
test,"(62, 78)",441,1,88.0,7.0,0.3636363744735718,3.539530,1.128134,2.411396
test,"(121, 285)",117,1,99.0,7.0,0.46464645862579346,2.177011,0.853054,1.323957
test,"(504, 13)",299,1,113.0,15.0,0.3451327383518219,6.473195,3.378701,3.094493
test,"(189, 78)",441,1,12.0,5.0,0.4166666567325592,4.821622,1.740212,3.081410
test,"(14, 65)",29,1,129.0,7.0,0.3643410801887512,5.930678,1.128870,4.801808
test,"(83, 82)",86,1,482.0,37.0,0.2282157689332962,7.671219,3.686527,3.984692
test,"(350, 62)",214,1,35.0,11.0,0.37142857909202576,4.454698,3.328271,1.126428
test,"(65, 322)",13,1,302.0,33.0,0.18543046712875366,2.662368,1.913791,0.748576
test,"(203, 229)",127,1,312.0,29.0,0.16987179219722748,4.751508,1.872037,2.879471
